ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation,crisis_exit,crisis_date,setup
TLT,1,2020-02-28,2020-03-11,128.91,138.28,38,316.0,6.42,8,True,2020-03-03,0,11.07,ATR,False,False,,A
IEF,2,2020-02-28,2020-03-11,100.76,103.8,49,108.84,2.2,8,True,2020-03-02,0,4.05,ATR,False,False,,A
ECL,2,2020-05-29,2020-06-12,198.25,195.62,26,-108.28,-2.09,10,True,2020-06-05,0,8.86,ATR,False,False,,A
LQD,2,2020-06-16,2020-06-22,109.28,108.55,46,-73.54,-1.46,4,False,,0,0.0,Rotation,True,False,,A
KEYS,1,2020-05-21,2020-07-08,102.4,100.42,50,-139.0,-2.7,32,False,,0,5.6,Rotation,True,False,,A
APD,1,2020-07-08,2020-07-09,231.66,235.68,21,44.37,0.91,1,False,,0,1.27,Rotation,True,False,,A
MRVL,1,2020-07-09,2020-07-24,36.96,33.98,136,-445.32,-8.82,11,False,,0,1.27,ATR,False,False,,A
HOLX,2,2020-06-22,2020-08-11,55.01,66.34,92,1002.36,19.73,35,True,2020-07-02,0,33.28,ATR,False,False,,A
NKE,2,2020-08-11,2020-08-12,98.43,97.39,54,-96.21,-1.8,1,False,,0,0.0,Rotation,True,False,,A
MPWR,1,2020-07-30,2020-09-08,250.77,236.03,18,-305.42,-6.74,27,True,2020-08-06,0,8.21,ATR,False,False,,A
ALB,2,2020-08-12,2020-09-24,87.06,75.08,60,-759.15,-14.48,30,True,2020-09-15,0,8.18,ATR,False,False,,A
NKE,2,2020-09-24,2020-10-23,116.73,120.02,39,88.18,1.93,21,False,,0,3.59,Rotation,True,False,,A
CAT,1,2020-09-10,2020-10-28,136.8,139.26,36,48.43,0.98,34,True,2020-10-12,0,11.61,ATR,False,False,,A
CL,1,2020-11-04,2020-11-05,73.19,74.42,65,39.91,0.84,1,False,,0,0.61,Rotation,True,False,,A
MPWR,1,2020-11-05,2020-11-10,328.95,302.33,14,-412.59,-8.92,3,False,,0,4.36,ATR,False,False,,A
ALGN,2,2020-10-23,2020-11-20,451.34,443.39,10,-119.5,-2.64,20,True,2020-11-05,0,8.99,ATR,False,False,,A
COST,2,2020-12-01,2020-12-07,363.31,353.64,12,-155.99,-3.56,4,False,,0,0.8,Rotation,True,False,,A
CAT,2,2020-12-07,2020-12-31,163.34,163.21,26,-43.3,-1.01,17,False,,0,0.75,Rotation,True,False,,A
FCX,2,2020-12-31,2021-01-27,24.73,24.29,174,-117.8,-2.72,17,True,2021-01-05,0,20.49,ATR,False,False,,A
